source_platform,source_venue_id,venue_name,venue_url,address,city,latitude,longitude,categories,price_tier,rating,rating_count,phone,website,opening_hours,has_menu,menu_url,extraction_status,retrieved_at
leggimenu,albatros,Albatros,https://www.leggimenu.it/menu/albatros,"viale autonomia 50, 89026, San Ferdinando",Milano,38.473276,15.923561,,,,,,,,True,https://www.leggimenu.it/menu/albatros,ok,2026-06-01T10:25:38Z
leggimenu,alchimiamilano,alchimia,https://www.leggimenu.it/menu/alchimiamilano,"Via Francesco Brioschi 17, 20136, Milano",Milano,45.446016,9.1807426,,,,,,,,True,https://www.leggimenu.it/menu/alchimiamilano,ok,2026-06-01T10:25:38Z
leggimenu,apollo,Apollo,https://www.leggimenu.it/menu/apollo,"Via Armando Diaz 51, 80041, Boscoreale",Milano,40.7737048,14.4830894,,,,,,,,True,https://www.leggimenu.it/menu/apollo,ok,2026-06-01T10:25:38Z
leggimenu,artcafe,Art Cafe ,https://www.leggimenu.it/menu/artcafe,"Via Madonna del Soccorso 5, 04010, Cori",Milano,41.6451604,12.9180889,,,,,,,,False,https://www.leggimenu.it/menu/artcafe,no_menu,2026-06-01T10:25:38Z
leggimenu,baccotabacco,BaccoTabacco,https://www.leggimenu.it/menu/baccotabacco,,Milano,45.4642,9.1900,,,,,,,,False,https://www.leggimenu.it/menu/baccotabacco,no_menu,2026-06-01T10:25:38Z
leggimenu,barbollicine,Bollicine,https://www.leggimenu.it/menu/barbollicine,"Piazza Gabriele Martini 16, 31040, Giavera del Montello",Milano,45.7932106,12.1691432,,,,,,,,True,https://www.leggimenu.it/menu/barbollicine,ok,2026-06-01T10:25:38Z
leggimenu,bar-caffe,"Bar, caffè",https://www.leggimenu.it/menu/bar-caffe,38630,Milano,45.630453,5.556698,,,,,,,,True,https://www.leggimenu.it/menu/bar-caffe,ok,2026-06-01T10:25:38Z
leggimenu,capriccio,Provamenu,https://www.leggimenu.it/menu/capriccio,"Via Cavour 7/A, 22070, Locate Varesino",Milano,45.688744,8.930659,,,,,,,,True,https://www.leggimenu.it/menu/capriccio,ok,2026-06-01T10:25:38Z
leggimenu,barcastello,BAR CASTELLO DI CASOTTO,https://www.leggimenu.it/menu/barcastello,"CASTELLO DI CASOTTO, 12075, GARESSIO",Milano,44.216371,7.94545,,,,,,,,False,https://www.leggimenu.it/menu/barcastello,no_menu,2026-06-01T10:25:38Z
leggimenu,barcentrale,lorenzo numanti,https://www.leggimenu.it/menu/barcentrale,"Via La Spezia 21, 43044, Collecchio",Milano,44.7519762,10.216129,,,,,,,,True,https://www.leggimenu.it/menu/barcentrale,ok,2026-06-01T10:25:38Z
leggimenu,centrale,Centrale,https://www.leggimenu.it/menu/centrale,"Piazza Cavour 60, Bar, 64014, Martinsicuro",Milano,42.8860048,13.9133071,,,,,,,,True,https://www.leggimenu.it/menu/centrale,ok,2026-06-01T10:25:38Z
leggimenu,cuore,Cuore,https://www.leggimenu.it/menu/cuore,"Piazzale Filippo il Macedone, 00124, Lazio",Milano,41.7512104,12.3543073,,,,,,,,True,https://www.leggimenu.it/menu/cuore,ok,2026-06-01T10:25:38Z
leggimenu,family,Family Lounge Bar,https://www.leggimenu.it/menu/family,"Via Zanardelli, 27, 75025, Policoro",Milano,40.215078,16.680903,,,,,,,,True,https://www.leggimenu.it/menu/family,ok,2026-06-01T10:25:38Z
leggimenu,garden,GARDEN LOUNGE BAR RISOTTERIA,https://www.leggimenu.it/menu/garden,"Piazza Vittorio Veneto, 13900, Biella",Milano,45.5633466,8.055652,,,,,,,,True,https://www.leggimenu.it/menu/garden,ok,2026-06-01T10:25:38Z
leggimenu,bargiada,bar Giada,https://www.leggimenu.it/menu/bargiada,"Piazza Umberto I 19, 90030, Mezzojuso",Milano,38.1980978,13.2485877,,,,,,,,True,https://www.leggimenu.it/menu/bargiada,ok,2026-06-01T10:25:38Z
leggimenu,bar-giardino,Bar Giardino,https://www.leggimenu.it/menu/bar-giardino,,Milano,45.4642,9.1900,,,,,,,,True,https://www.leggimenu.it/menu/bar-giardino,ok,2026-06-01T10:25:38Z
leggimenu,giardino,Caff,https://www.leggimenu.it/menu/giardino,"Via IV Novembre, 42/F , 31058, Susegana",Milano,45.860897,12.266577,,,,,,,,True,https://www.leggimenu.it/menu/giardino,ok,2026-06-01T10:25:38Z
leggimenu,gioia,Gioia,https://www.leggimenu.it/menu/gioia,"Via Udine 54, 33170, Pordenone",Milano,45.9512499,12.6721484,,,,,,,,True,https://www.leggimenu.it/menu/gioia,ok,2026-06-01T10:25:38Z
leggimenu,girasole,Cafè girasole,https://www.leggimenu.it/menu/girasole,"Via San Bartolome 22, 92026, Favara",Milano,37.316282,13.659657,,,,,,,,True,https://www.leggimenu.it/menu/girasole,ok,2026-06-01T10:25:38Z
leggimenu,bargolfmilano,Bar Golf Milano,https://www.leggimenu.it/menu/bargolfmilano,"Via Galvani 21, 20135, Milano",Milano,45.487402,9.197346,,,,,,,,False,https://www.leggimenu.it/menu/bargolfmilano,no_menu,2026-06-01T10:25:38Z
leggimenu,italiano,I’CIOCIO,https://www.leggimenu.it/menu/italiano,"Piazza dei Giudici 1, 57028, Suvereto",Milano,43.0793711,10.6791397,,,,,,,,True,https://www.leggimenu.it/menu/italiano,ok,2026-06-01T10:25:38Z
leggimenu,barkollo,Barkollo… ma non mollo,https://www.leggimenu.it/menu/barkollo,"Via Castello, 94016, Pietraperzia",Milano,37.4230948,14.1360527,,,,,,,,True,https://www.leggimenu.it/menu/barkollo,ok,2026-06-01T10:25:38Z
leggimenu,barlaura,Bar laura,https://www.leggimenu.it/menu/barlaura,"Via Eridania 228, 45030, Santa Maria Maddalena",Milano,44.8952605,11.6051844,,,,,,,,True,https://www.leggimenu.it/menu/barlaura,ok,2026-06-01T10:25:38Z
leggimenu,lilla,LILLA CAFFÈ,https://www.leggimenu.it/menu/lilla,"Corso Vittorio Emanuele 62, 61049, Urbania",Milano,43.668348,12.523845,,,,,,,,True,https://www.leggimenu.it/menu/lilla,ok,2026-06-01T10:25:38Z
leggimenu,living,LIVING Cocktail Bar,https://www.leggimenu.it/menu/living,"Via Giannino Ancillotto 43, 30027, San Donà di Piave",Milano,45.6304359,12.5643289,,,,,,,,True,https://www.leggimenu.it/menu/living,ok,2026-06-01T10:25:38Z
